iter,rel_res
0,1.0
1,0.005574420018522811
2,0.0015410021182824505
3,0.0008504842443971127
4,0.0005782117148637422
5,0.0004366888565785221
6,0.0003526956403725809
7,0.0002984168009680628
8,0.00025951178898567234
9,0.0002281709147070673
10,0.00020055860461407697
11,0.0001751317143768545
12,0.00015148982370582917
13,0.00012969233007244395
14,0.00010990687588433265
15,9.225605522269391e-05
16,7.676941799098697e-05
17,6.338514987643058e-05
18,5.197111632624252e-05
19,4.2350033039065115e-05
20,3.4321962831612594e-05
21,2.7681757407902684e-05
22,2.223123872184242e-05
23,1.7786840033773165e-05
24,1.4183716858126942e-05
25,1.1277311813536624e-05
26,8.943210466173542e-06
27,7.075937358881514e-06
28,5.587171414330747e-06
29,4.4037098726992554e-06
30,3.465399816743249e-06
31,2.723170293549886e-06
32,2.1372365223538016e-06
33,1.6755147872888806e-06
34,1.3122490988102803e-06
35,1.0268448238218703e-06
36,8.028910362852156e-07
37,6.27349297946662e-07
38,4.89888117890406e-07
39,3.8233906052252255e-07
40,2.982575075097673e-07
41,2.3256712938410147e-07
42,1.8127585456791962e-07
43,1.4124898960483294e-07
44,1.1002747293710578e-07
45,8.568449061459757e-08
46,6.67115293346831e-08
47,5.192894197675272e-08
48,4.0414523118376056e-08
49,3.144817243133992e-08
50,2.446755404048766e-08
51,1.9034194308918427e-08
52,1.4805777312359174e-08
53,1.1515788157480563e-08
54,8.956267443168793e-09
